web-scraper-order,web-scraper-start-url,aircraft_type,aircraft_type-href,aircraft_comments
"1612887379-16822","https://www.seatguru.com/airlines/Lufthansa/information.php","Boeing 747-400 (744) Layout 2","https://www.seatguru.com/airlines/Lufthansa/Lufthansa_Boeing_747_400_V4.php","Very good seat, with more legroom"
"1612887592-21098","https://www.seatguru.com/airlines/Emirates_Airlines/information.php","Boeing 777-300ER (77W) Three Class Layout 1","https://www.seatguru.com/airlines/Emirates_Airlines/Emirates_Airlines_Boeing_777-300ER_3class_private.php","One of the most uncomfortable trips I have ever experienced.  The seats are packed in with very little width and unreasonably close pitch.  For an 8 hour flight, I expected better of Emirates.  Not looking forward to the return trip."
"1612887658-22817","https://www.seatguru.com/airlines/Delta_Airlines/information.php","Boeing 767-400ER (76D) Layout 1","https://www.seatguru.com/airlines/Delta_Airlines/Delta_Airlines_Boeing_767-400ER_B_Version_2.php","No complaints.  I need my legroom at 6'2"" but was able to stretch occasionally kicking my legs out to the side between service.  The restroom or galley proximity was a non-issue and this was an 8hr flight.  The TV is smaller and mounted on the bulkhead.  Seat width was fine."
"1612887658-22768","https://www.seatguru.com/airlines/Delta_Airlines/information.php","Boeing 767-400ER (76D) Layout 1","https://www.seatguru.com/airlines/Delta_Airlines/Delta_Airlines_Boeing_767-400ER_B_Version_2.php","The foot cubby in seat 1A is larger than the standard Delta One foot cubby because there is no seat in front of it. The seat also seems longer, perhaps for the same reason. There is some noise from the forward galley (delta provides ear plugs), but this is usually restricted too meal service times. On the plus side to this proximity too the galley, the forward part of the cabin is served first and service seems more attentive than seats further back in the cabin making meal service quick, which is great for shorter east coast to Europe transatlantic flights where sleep time can be limited. Overall, my favorite seats in the cabin."
"1612887445-18234","https://www.seatguru.com/airlines/American_Airlines/information.php","Airbus A319 (319)","https://www.seatguru.com/airlines/American_Airlines/American_Airlines_Airbus_A319.php","The 'A and E' seats will not permit the Ciao brand underseat rolling bag to be stored underneath the seat in front due to a built in obstruction on the right rear leg."
"1612887439-17958","https://www.seatguru.com/airlines/American_Airlines/information.php","Airbus A321 (321) Layout 2","https://www.seatguru.com/airlines/American_Airlines/American_Airlines_Airbus_A321_V3.php","Great legroom in 23F. You can store a small bag under 21F, but you can't reach it while seated. It takes a while to deplane since you are in back, but if you want to stretch out your legs, and have no one relining into your space, it is a good choice."
"1612887377-16633","https://www.seatguru.com/airlines/Lufthansa/information.php","Boeing 747-8 (748)","https://www.seatguru.com/airlines/Lufthansa/Lufthansa_Boeing_747_8_V3.php","It is a bulkhead seat but with plenty of legroom.
Recommended."
"1612887634-22121","https://www.seatguru.com/airlines/Delta_Airlines/information.php","Boeing 737-900ER (739)","https://www.seatguru.com/airlines/Delta_Airlines/Delta_Airlines_Boeing_737-900ER.php","28F has two windows, one just slightly back from your shoulder, and another forward, even with the back of the seat in front.  I'm 5'10"" and had a good 3"" of knee space.  On the flight back, DEN-ATL, I had Seat 32A, same windows, same placement. (And my name is NOT ""Abdallah E,"" ha!)"
"1612887598-21217","https://www.seatguru.com/airlines/Emirates_Airlines/information.php","Airbus A380-800 (388) Three Class Layout 2","https://www.seatguru.com/airlines/Emirates_Airlines/Emirates_Airlines_Airbus_A380_B.php","The seat was very comfortable. The legroom was pretty good for econkmy. The entertainment system worked really well. This seat is great and would recommend it to others."
"1612887632-22093","https://www.seatguru.com/airlines/Delta_Airlines/information.php","Boeing 757-200 (757)","https://www.seatguru.com/airlines/Delta_Airlines/Delta_Airlines_Boeing_757-200.php","Row 1 does have leg room issues due to the bulkhead limiting your ability to extend your legs. I believe rows 2-6 are far better for being able to extend your legs.
Also, since you exit the 757 from behind the first class section, row 1 passengers are last to disembark the first class section of the plane."
"1612887578-20281","https://www.seatguru.com/airlines/British_Airways/information.php","Boeing 747-400 (744) Layout 2","https://www.seatguru.com/airlines/British_Airways/British_Airways_Boeing_747-400_D.php","I was rebooked from a LH flight to this BA flight (B747-4 V3)out of Seattle because of strike by ground staff of Frankfurt airport. Excellent seat and place in the aircraft. It reclines adequately and there are no worries about the proximity of the galley or lavatory. Food is below par compared to premium eco seats with other air lines. IFE is adequate, promptness of flight times exemplary. I slept like a baby."
"1612887503-18953","https://www.seatguru.com/airlines/Air_France/information.php","Boeing 777-300ER (77W) Caribbean","https://www.seatguru.com/airlines/Air_France/Air_France_Boeing_777-300_E.php","Premimum Eco on AF is not up to the best standards ( LO, LH...). Yes you get more elbow room (which is 
a big relief from the obscene 3-4-3 in cattle class). But
the seats hardly recline (they ""slide"" forward a minuscule amount). There is a box underneath the seat which prevents stretching your left leg. As for the soft product, it is miserable: same as Y, no choice of meal entry on the outgoing leg (AF 820), horrible wine (not even Appellation Controlee!), terrible breakfast. Is it
worth paying double the Y fare? Frankly no.
I suggest AF CEO Mr. de Juniac book himself a ticket in Premium Economy on NZ and compare...."
"1612887559-19644","https://www.seatguru.com/airlines/British_Airways/information.php","Boeing 787-9 (789)","https://www.seatguru.com/airlines/British_Airways/British_Airways_Boeing_787-9.php","Premium economy and cant extend feet fully...
The seat in front has entertainment box underneath on right hand side. Im pretty tall thats why i paid to upgrade to premium economy. Thos is the worst premium economy seat have sat in. Could not extend legs fully due to entertainment box."
"1612887580-20503","https://www.seatguru.com/airlines/British_Airways/information.php","Boeing 747-400 (744) Layout 1","https://www.seatguru.com/airlines/British_Airways/British_Airways_Boeing_747-400_C.php","28J is probably the best seat in Economy. After takeoff, they close the curtains to Club World. There's also no bathroom in this area, which means you don't have passengers standing around you. 28J is right beside the exit door, which protrudes outwards a little bit, and I used this door to rest my feet on. Do note that it gets very cold by the exits. I recommend wearing layers, as the one blanket that BA gives you wasn't enough to keep me warm."
"1612887640-22509","https://www.seatguru.com/airlines/Delta_Airlines/information.php","Boeing 717-200 (717)","https://www.seatguru.com/airlines/Delta_Airlines/Delta_Airlines_Boeing_717.php","Typical ""First Class"" on todays domestic flights.
OK Seat for relatively short flight.
Legroom would have been a problem on anything more than a couple of hours.
Certainly better than coach, but that doesn't say much."
"1612887658-22863","https://www.seatguru.com/airlines/Delta_Airlines/information.php","Boeing 767-400ER (76D) Layout 1","https://www.seatguru.com/airlines/Delta_Airlines/Delta_Airlines_Boeing_767-400ER_B_Version_2.php","Keep in mind that cabin service starts on the A seat side of the cabin.  So there for you will be one of the last to be served in Business Class.  This may mean that if you don't eat fast the lights may be dimmed before you finish your meal."
"1612887600-21241","https://www.seatguru.com/airlines/Emirates_Airlines/information.php","Airbus A380-800 (388) Three Class Layout 1","https://www.seatguru.com/airlines/Emirates_Airlines/Emirates_Airlines_Airbus_A380.php","Amazing seat on a route from London this is a great seat great food"
"1612887561-19844","https://www.seatguru.com/airlines/British_Airways/information.php","Boeing 787-8 (788)","https://www.seatguru.com/airlines/British_Airways/British_Airways_Boeing_787-8.php","The IFE box is located under the seats B, D, F and J in the World Traveller cabin section which does reduce the legroom available.

The seat was comfortable enough for the flight for Chengdu to Heathrow.

The electronic window shades gave the cabin a blue tint in flight and the toilets had a purpley light until the lock was engaged! Liked the 'Wave & flush' and 'Wave & wash' hands-free systems in the toilets.

During the enforced 'sleep' period, the electronic window blinds are dimmed centrally. You can get water and fruit juices from the galley at the rear of the plane ... along with an assortment of chocolates, crisps, biscuits etc from the Tuckbox. Quick noodles were also available on this flight, BA88."
"1612887648-22663","https://www.seatguru.com/airlines/Delta_Airlines/information.php","Airbus A320 (32K) Layout 1","https://www.seatguru.com/airlines/Delta_Airlines/Delta_Airlines_Airbus_A320_B_new.php","Avoid this Aircraft - I am 5'2"" and the new bathroom configuration is so uncomfortable that i would NEVER fly on the Airbus 320 or 319. Awful move on Delta's part. Yes, I was in Business class, but the restroom was full. this closet was 1/3 the size of a standard airplane lavatory."
"1612887582-20867","https://www.seatguru.com/airlines/British_Airways/information.php","Airbus A380-800 (388)","https://www.seatguru.com/airlines/British_Airways/British_Airways_Airbus_A380_new.php","The worst seat on any airliner, ever.  No window, no seat storage, no overhead storage, freezing cold, a good inch narrower than regular seats elsewhere on the plane and the cabin wall looms in on the seat so you feel like you're trapped in a cave.  And BA have the nerve to treat this as a premium seat that you have to pay extra to book!   AVOID!"
"1612887598-21173","https://www.seatguru.com/airlines/Emirates_Airlines/information.php","Airbus A380-800 (388) Three Class Layout 2","https://www.seatguru.com/airlines/Emirates_Airlines/Emirates_Airlines_Airbus_A380_B.php","From DXB-PRG, the seat is good , you have extra legroom with no additional charges. The crew is so friendly! The bar has a lot of choices. very good flight"
"1612887441-18094","https://www.seatguru.com/airlines/American_Airlines/information.php","Airbus A321 (321) Layout 1","https://www.seatguru.com/airlines/American_Airlines/American_Airlines_Airbus_A321_V2.php","This is an exit row seat with alot of legroom. However the seat itself was  very uncomfortable. Padding was thin and the seat was very narrow. I'm fairly small and still felt stuffed into the seat."
"1612887582-20719","https://www.seatguru.com/airlines/British_Airways/information.php","Airbus A380-800 (388)","https://www.seatguru.com/airlines/British_Airways/British_Airways_Airbus_A380_new.php","I had 53E on a London to Dulles flight.  I liked the fact that the seat has extra legroom and access to either aisle without crossing the footrest of another seat.  Flying backwards is still strange to me, and with the dividers up the seat feels a little ""cave-like.""  Overall, a very quiet and private seat. As an added bonus, it seems that I was being served from both sides (extra food, snacks, and drinks) by the wonderful flight crew."
"1612887598-21179","https://www.seatguru.com/airlines/Emirates_Airlines/information.php","Airbus A380-800 (388) Three Class Layout 2","https://www.seatguru.com/airlines/Emirates_Airlines/Emirates_Airlines_Airbus_A380_B.php","The Emirates 380 Business Class seats have a width of 18.5 inches, which is half an inch wider than the economy class. This makes the seats narrow. While the seats are lie-flat, it makes it impossible to turn in the seat while lying down, making it very uncomfortable when on a long flight. Of the 9 airlines that I have flown in Business Class, Emirates has the narrowest seats. Compare this with SQ which has seats of upto 30 inches.
The seat plan is not correct. There are actually 8 seats across in Emirates Business Class and not 4 seats as shown. A more accurate seat plan for this aircraft is the Etihad 380 Business Class."
"1612887451-18613","https://www.seatguru.com/airlines/American_Airlines/information.php","Boeing 777-300ER (77W)","https://www.seatguru.com/airlines/American_Airlines/American_Airlines_777-300_ER.php","31J. Given the lack of space at the rear, lots of people use this area to mill around and chat (FAs aren't in the area). Was stepped on a few times and given looks as I actually used the extra space I paid for to stretch out, rather than permit them stand 6 ft from me and talk. Given the traffic and ongoing talk show, light sleepers should not sit here. Positives- you can stand up, stretch out almost whenever and easily use the restroom. If I had to take the row again, I would choose A/L, extra room by the wall (and the middle arm rest if hog it like my seatmate). The exit door only slightly impacts leg room and you can easily get up, and less impacted by people going in and out of galley. Guessing it's only solid-yellow per no window."
"1612887561-19811","https://www.seatguru.com/airlines/British_Airways/information.php","Boeing 787-8 (788)","https://www.seatguru.com/airlines/British_Airways/British_Airways_Boeing_787-8.php","The window seat faces rearward. Access to the seat was awkward. I felt hemmed in. Not a great business class seat at all. I will be reluctant to fly BA business class again."
"1612887503-18934","https://www.seatguru.com/airlines/Air_France/information.php","Boeing 777-300ER (77W) Caribbean","https://www.seatguru.com/airlines/Air_France/Air_France_Boeing_777-300_E.php","30A, long legs seat.
Was a shame! No window and extremely narrow seat (no space for your arms). And you have to pay an extra.
I complained and they refunded the amount payed."
"1612887578-20296","https://www.seatguru.com/airlines/British_Airways/information.php","Boeing 747-400 (744) Layout 2","https://www.seatguru.com/airlines/British_Airways/British_Airways_Boeing_747-400_D.php","Its a great seat with lost of storage but if the person in the row behind has their foot stool down its didficult to get to the aisle without knockibg them when stepping over. Bad seat donfiguration here."
"1612887483-18823","https://www.seatguru.com/airlines/Air_France/information.php","Airbus A320 (320) Layout 2","https://www.seatguru.com/airlines/Air_France/Air_France_Airbus_A320_Europe_V2.php","I have flown this route repeatedly in both economy and business.  This is truly the 'flight from hell'!  There are no good seats.  The economy seat bottoms are too short, so all passengers need to sit sideways.  There is no food service until 50 minutes before landing in Paris (after 4 hours in flight.  There's no entertainment, not even music and most people are fighting with one another by the time the flight ends.  Business class  costs between 2 to 3 times the economy class.  Seats are more like normal economy and are in sets of 3 on each side, and probably 5 rows.  The middle seat isn't used. But again, no entertainment, minimal food service and because the flights are at night, crew prefers passengers keep lights off and voices low."
"1612887644-22557","https://www.seatguru.com/airlines/Delta_Airlines/information.php","Airbus A321 (321) Layout 1","https://www.seatguru.com/airlines/Delta_Airlines/Delta_Airlines_Airbus_A321.php","Whomever designed this should be fired- choose economy over this comfort seat. The door for exit hits this seat- door jam juts out by 4 inches- making the seats narrower and NO SPACE FOR RIGHT ARM.   Horrible horrible seat. Forced to sit crooked for 4 1/2 hour flight."
"1612887379-16798","https://www.seatguru.com/airlines/Lufthansa/information.php","Boeing 747-400 (744) Layout 2","https://www.seatguru.com/airlines/Lufthansa/Lufthansa_Boeing_747_400_V4.php","I sat in the 27E from Vancouver to Frankfurt. The premium economic sit is good, you have more place, you can recline the sit more, but its not a wonder as i imagined that would be. Yes, it is definetely better than the normal economic class, but if you take the normal economic class sits imediately behind (roll 29), you will have plante leg space, for same economic class price! The service  of the premium economic was not really better than the economic class...its questinable"
"1612887451-18658","https://www.seatguru.com/airlines/American_Airlines/information.php","Boeing 777-300ER (77W)","https://www.seatguru.com/airlines/American_Airlines/American_Airlines_777-300_ER.php","LHR > JFK November 2014. Fantastic seat: this area of Business class is away from the main lot so feels cosier. The seats are almost suites: The seats themselves are very good - quite wide; huge wardrobe; loads and loads of storage space. Food ok; ICE excellent; WiFi speed 3-7Mb and not expensive considering the technology. 
Very impressed. Bose noise-cancelling headphones.
AA Business is better than BA First Class (which I had for the return flight"
"1612887580-20473","https://www.seatguru.com/airlines/British_Airways/information.php","Boeing 747-400 (744) Layout 1","https://www.seatguru.com/airlines/British_Airways/British_Airways_Boeing_747-400_C.php","I love to flying to LHR from BOM india!
It wasn't bad seat but just nice relax"
"1612887439-17831","https://www.seatguru.com/airlines/American_Airlines/information.php","Airbus A321 (321) Layout 2","https://www.seatguru.com/airlines/American_Airlines/American_Airlines_Airbus_A321_V3.php","This seat was a HORRIBLE waste of money. $86 for ""Main Cabin EXTRA"" was terrible. You are right next to the door so it is freezing, also the flight attendant's jump-seat is right in front of you so she will be going in and out over your legs. There IS extra legroom, but that's it.  The seat not only is smaller because the traytable is in the solid armrest, but it is actually a physically smaller seat width-wise than the seat directly behind it, and it is less cushiony owing to what seems like a pared down shape to squeeze the two seats and the jump seat into the bulkhead area. My husband sat in the aisle 22C and was run into constantly by passerbys.  Also bring an eye mask because as a red-eye, they shut the lights off for sleeping but the bathroom is right in front of you and every time that door opens its bright light.  There is NO entertainment or power plugs on this plane. Also no place to store things except overhead bins for these seats.  All in all, a giant waste of money, should have chosen one row back. Seat did recline some."
"1612887559-19654","https://www.seatguru.com/airlines/British_Airways/information.php","Boeing 787-9 (789)","https://www.seatguru.com/airlines/British_Airways/British_Airways_Boeing_787-9.php","DEL-LHR.  Nice seats against bulkhead so no climbing over anyone else's feet to exit, and sleeping was very comfortable in the flat position. I wish seats weren't over wings for Club World. Serious pampering from crew, but never intrusive. Food good, especially light Indian meal before landing. Good smoked salmon starter and cold smoked duck salad for lunch. Snacks on all BA flights weak with Mars chocolates, potato chips, jelly babies and the like, but so much better than AA. This is well worth Club World fares."
"1612887437-17733","https://www.seatguru.com/airlines/American_Airlines/information.php","Airbus A321 (32B) Layout 3","https://www.seatguru.com/airlines/American_Airlines/American_Airlines_Airbus_A321_new.php","As context, I fly only 50,000 - 70,000 miles each year, but it is usually 3-4 lax to lhr trips combined with some x-country flights (lax - jfk, lax to iad). For the international flights I always fly on the 777,  which has a somewhat similar configuration to the A321. Although the actual seat in business class is similar in the A321 and the 777, the configuration in the 777 gives each business class seat aisle access without disturbing any other passengers.

I have flown in this configuration several times and think it is the best long-haul domestic offering of the major airlines. I was fortunate on my flight that the IFE in the adjacent seat was not working so they did not seat anyone in that seat allowing me to get up and down as I pleased without disturbing anyone."
"1612887451-18710","https://www.seatguru.com/airlines/American_Airlines/information.php","Boeing 777-300ER (77W)","https://www.seatguru.com/airlines/American_Airlines/American_Airlines_777-300_ER.php","Very private excellent seat in mini business class cabin"
"1612887582-20857","https://www.seatguru.com/airlines/British_Airways/information.php","Airbus A380-800 (388)","https://www.seatguru.com/airlines/British_Airways/British_Airways_Airbus_A380_new.php","Very comfortable - seat 83F.  Plenty of leg room and seat reclines reasonably for one at the back row.  Only point to note is that the storage space in this section of economy is very limited so avoid if you have big cases - they may be checked or put elsewhere"
"1612887451-18593","https://www.seatguru.com/airlines/American_Airlines/information.php","Boeing 777-300ER (77W)","https://www.seatguru.com/airlines/American_Airlines/American_Airlines_777-300_ER.php","Have flown LH, OS, BA, UA and VS business class, and AA's seats on the 773 exceed all of them in terms of privacy, space and comfort.  Service was perfectly adequate - not overwhelmingly friendly but efficient.  Food was also quite good.  PJs, slippers and a seat cover made for a good night's sleep on the 15-hr flight from LAX to SYD.  IFE was OK - enough to entertain."
"1612887676-23263","https://www.seatguru.com/airlines/Delta_Airlines/information.php","Airbus A330-200 (332)","https://www.seatguru.com/airlines/Delta_Airlines/Delta_Airlines_Airbus_A330_200_3L2_new.php","I flew DTW > SFO on one of these in 14f.  Seat is a smidge wider than the usual 737/757/MD90 that Delta uses for this route.  Overall, the bigger plane was smoother and quieter than the narrow-bodies I usually fly.  Otherwise, nice IFE system with controls for the overhead light built in, USB and 110v power available."
"1612887445-18288","https://www.seatguru.com/airlines/American_Airlines/information.php","Airbus A319 (319)","https://www.seatguru.com/airlines/American_Airlines/American_Airlines_Airbus_A319.php","The interior is very beutiful. The seats have good leg room. The seats are a little stiff, but overall you have godd IFE (in-flight intertainment) and is a very quiet aircraft versus a 757. I would give American a 7/10."
"1612887451-18488","https://www.seatguru.com/airlines/American_Airlines/information.php","Boeing 777-300ER (77W)","https://www.seatguru.com/airlines/American_Airlines/American_Airlines_777-300_ER.php","The proximity to the lavatories pretty much negates the huge legroom benefits. I had this seat overnight from Buenos Aires to Miami, and the light and noise from everyone going in and out of the rest room kept me up all night. Lines and queues formed in my personal space. The seat is also very narrow, and the armrest tray table is about the size of a postage stamp. It felt like a tight squeeze, which was unfortunate for an exit row seat. I wouldn't sit here again."
"1612887662-22871","https://www.seatguru.com/airlines/Delta_Airlines/information.php","Boeing 767-300ER (76Z) Layout 4","https://www.seatguru.com/airlines/Delta_Airlines/Delta_Airlines_Boeing_767-300ER_76Z.php","13A is a hot mess of a seat... there is a huge door in your knees so you're screwed if you're over 5'6 feet tall. Not to mention the bathroom smells and sounds. I would really look at the layout of your plane and try to avoid at all costs. Can't believe they think this is worth the extra money. Row 13 is appropriately named... it's miserable."
"1612887576-20096","https://www.seatguru.com/airlines/British_Airways/information.php","Boeing 777-200 (772) Four Class","https://www.seatguru.com/airlines/British_Airways/British_Airways_Boeing_777-200.php","When the seats in front were in full recline position it was impossible to stand up and exit this seat. The only way was to shuffle across the armrests or clamber over the seats to the aisle"
"1612887612-21638","https://www.seatguru.com/airlines/Delta_Airlines/information.php","McDonnell Douglas MD-90 (M90)","https://www.seatguru.com/airlines/Delta_Airlines/Delta_Airlines_MD-90.php","If you can opt for the 2 side on the MD90, go for it by all means. The overhead bin space isn't as good as on the other side of the aisle, but having just one seat to jump over during a three hour flight makes quite a difference."
"1612887391-17146","https://www.seatguru.com/airlines/Lufthansa/information.php","Airbus A340-600 (346) Layout 1","https://www.seatguru.com/airlines/Lufthansa/Lufthansa_Airbus_A340-600_D.php","Flew this version to Munich and back from JFK.Seat was just enough for me as I am big and tall.(6""4"" 320lbs.) If much bigger it would have been tough.Seat belt was fine without extender.I stay buckled throughout flight.Food was good...service polite and attentive.The big issue on this plane is toilets.Look at seat plan ...5 toilets for economy and prem. econ.(245)and10 for first and business(52).Plus to access toilets you must go down flight of stairs. Big line coming from 4 directions in middle of galley area.Must move around crew and confused fliers.Fellow fliers were very polite about letting each other go ahead.On one flight FA's let a few elderly fliers go to 1st./Bus. toilets but it was limited.Also the statement about narrower seat 22A-K due to tray table in armrest somewhat inaccurate..all seats have tray table in armrest.They seemed the same as our seat  with lots of legroom and no setback coming at you.I would take that seat if I was to fly this version again."
"1612887582-20722","https://www.seatguru.com/airlines/British_Airways/information.php","Airbus A380-800 (388)","https://www.seatguru.com/airlines/British_Airways/British_Airways_Airbus_A380_new.php","Do not recommend these seats at all. We paid in advance for upper cabin seats and were extremely uncomfortable as there are large boxes underneath the seats in front. There is also limited overhead space so our carry on luggage couldnt go above and couldn't fit under seat in front either. Our feet had nowhere to go!"
"1612887576-20227","https://www.seatguru.com/airlines/British_Airways/information.php","Boeing 777-200 (772) Four Class","https://www.seatguru.com/airlines/British_Airways/British_Airways_Boeing_777-200.php","Please remember that British Airways is a family friendly airline. They WILL ALWAYS accommodate families with children. SO, the seats in World Traveller row 26 will always go to families with babies, which can be unpleasant, if you are in the middle seat. They will always always try to give World Traveller Plus row 21 to families as well."
"1612887658-22841","https://www.seatguru.com/airlines/Delta_Airlines/information.php","Boeing 767-400ER (76D) Layout 1","https://www.seatguru.com/airlines/Delta_Airlines/Delta_Airlines_Boeing_767-400ER_B_Version_2.php","Sure you might be close to the galley, but the true benefit of this row is you have a full foot area, as opposed to a very narrow one in all other rows. Very big plus!!"
"1612887377-16655","https://www.seatguru.com/airlines/Lufthansa/information.php","Boeing 747-8 (748)","https://www.seatguru.com/airlines/Lufthansa/Lufthansa_Boeing_747_8_V3.php","FRA - ORD.  A lot of people complain about the seat's lack of privacy which is true - you are out in the open.  In my opinion, the spaciousness of the cabin and seats make up for that lack of privacy.   I am 6'6"" and not as thing as I used to be.  These seats are very roomy and it is extremely easy to find a comfortable sleeping position.   The center seats have the best storage space as well.   Lufthansa cabins tend to be too hot to get a good night's sleep on an overnight flight but they are fine for a day flight.  Honestly, I prefer these seats to the new United Polaris seats."
"1612887664-22996","https://www.seatguru.com/airlines/Delta_Airlines/information.php","Boeing 767-300ER (76T/76W) Layout 1","https://www.seatguru.com/airlines/Delta_Airlines/Delta_Airlines_Boeing_767-300ER_A.php","* Flew CDG-ATL.
* Flight got off to a terrible start due to a 3-hour mechanical delay at CDG. Supposedly a sheet of ice had formed over a cargo door during its transatlantic flight that morning, rendering it impossible to open for quite some time.
* Delta proceeded with boarding about an hour late, after which everyone sat there twiddling their thumbs in frustration for another two hours before the plane moved.
* Delta's halting, indifferent attempts to communicate the situation to its passengers deserve a letter grade of ""F.""  Over and over and over, we were informed that departure would take place in ""just a few more minutes."" Lies, all lies, I tell you.
* Aircraft is NOT equipped with WiFi, despite cards in every seatback pocket touting Delta's Gogo service.  When I asked a flight attendant how in 2015 a long-haul airplane could not have WiFi, particularly when said service was prominently advertised, she replied ""It's frustrating, isn't it?""  Uh, yes it is, particularly when I hoped to log on to Delta.com to check on re-booking my connecting flight that you caused me to miss.
* Overhead bin was too small to accommodate my bag straight-in; had to load it lengthwise.
* I did very much like the 1-2-1 seat layout in the Business Elite section.  I was on the far right side of the plane with no one next to me.
* Amenities kit was fine, with everything you'd expect and then some (even eyeglasses cloth).
* In-flight entertainment system offered a pretty decent selection of movies, TV, and music.  
* Food was good in terms of both quality and sheer quantity.  Champagne and wine both offered at various points.
* Flight attendants were friendly, polite, and professional.  Some bordering on grandmotherly, though, ahem.  Also, only some of the flight attendants seemed genuinely bilingual, which at times made things difficult for some of the French passengers.
* Delta, please reconsider your pre-flight video message featuring cornball humor and your CEO.  I'm sure I was not alone among 200 disgruntled passengers when I flipped the bird in the direction of Richard Anderson's copraphagic grin.
Overall: the flight & cabin crews did what little they could to make up for the disastrous start of our flight, but when an airline takes 3 hours to deal with a balky cargo door, thereby dooming 200 passengers to missed connecting flights, and further maroons them with no WiFi for 10 hrs, it's hard to say one had a pleasant experience.  The lesson, as always: Delta sucks."
