date|comment|rating|airline
1 Helpful vote|Covid safety procedures are excellent, crew attentive and welcoming. Night flight on 29 December on DL 1 on a Boeing 767 in Delta one. Delta has their Covid 19 safety procedures while flying down pat and we felt safe. The plane was immaculately clean, hand sanitiser and wipes were handed out on boarding, announcements were made concerning safety…|50|Delta
1 Helpful vote|What a Change. Where to start first of all the plane was very clean and comfortable. Staff were helpful through the the entire process from getting my tickets which was a reimbursement due to COVID-19. I had my three kids with me and it was a very smooth process. Infotainment system on the…|50|Delta
3 Helpful votes|Nightmare Airline Ruined Multiple Trips. This is the last time Delta ruins a trip. Unfortunately I had booked two trips at the same time, so even though I vowed never to fly Delta again after the nightmare of the first flight I find myself again in the same situation. Both times my flight was rebooked repeatedly. I…|10|Delta
2 Helpful votes|Delta is ready when you are - like right now!. The planes are extremely clean, and there are no passengers seated in any middle row seats! High awareness of COVID protocol both in the Terminal and on the plane. Staggered seating with social distancing. Pre-Sealed bags of water and snacks vs the normal open cart beverage and…|50|Delta
1 Helpful vote|RUNA PRUYN. What a very professional woman . This lady helped my kids fly round trip as minor children she was the woman to help with them. Getting on and off the plane. As we arrived for the kids to board there was a storm and she was on top of her work letting us know about delays and the…|50|Delta
1 Helpful vote|Delta..... The terminal very clean [Sea/tac], Delta employees very helpfully, and Professional, no problems, at all, the aircraft, very clean, and the crew very nice, Go Delta.|40|Delta
2 Helpful votes|"Customer Care Agent, Jason. Delta Customer Care Agent, Jason was very unprofessional. He continued to speak over me and then accused me of speaking over him. I remained quiet for a full 30 seconds and he said, ""Hello, are you there?"" I thought he had something to say?! I stated, ""You said I was speaking…"|10|Delta
1 Helpful vote|Rude rude and no ticket.. Had a return flight booked with my new puppy. Had arranged a ticket for him in advance. Counter agent said he’s too young. Even though I had the vet paperwork saying he was ten weeks six days old. She lectured me about flying with such a young dog. I explained I just got him…|10|Delta
|Disregard for Helpless Customers. Delta Airlines doesn’t have the slightest regard for customers under trying circumstances. As a desperate traveler who tried to get to Minneapolis from Madison through a snowstorm, after totaling my car on the highway I quickly booked a flight from La Crosse, WI to Minneapolis.…|10|Delta
2 Helpful votes|Since Covid. Safe Clean. Lacking in Service.. Its different flying with covid. they do not book the seat next to you. you must wear a mask the entire time. the service is VERY limited. you can smell the recirculated clean air as it filters. it just different. Movies are still good. have fun|40|Delta
1 Helpful vote|Incompetent Staff. My sons flew unaccompanied minor this week and both they and I were extremely unsatisfied with the service we received. In past flights on Delta, a flight attendant would walk my sons down the gate and I generally expected to wait 15-20 minutes after the flight landed to receive…|20|Delta
|Standard Flight from Miami to Boston. Standard flight returning from Miami. Delta is a pretty good airline and is consistently clean and organized|40|Delta
|COVID Procedures do NOT follow CDC Guidelines. I have flown a number of times during this pandemic, but have never experienced such lack of consideration for customer health and safety. Boarding procedures are completely acceptable, boarding from the back of the plane to the front, to avoid face to face encounters. But what…|20|Delta
|Stressful travel day. I was traveling home for the holidays with my boyfriend. We booked our flights separately but made sure our seats were next to each other. We boarded the plane, received wipes from the flight attendant, and wiped down our seats. The flight was supposed to leave at 7 a.m. At…|20|Delta
|Seamless experience with excellent service. Delta continues to out fly their competition when it comes to serving the customer, on time departures, baggage handling, and aircraft cleanliness. During this pandemic (or any other time), there's not a better airline to fly either domestic or international. They really go…|50|Delta
|Holiday. My favorite airline. No complaints here! Timely takeoff, and landing. The flight was long, but the service is excellent;)|50|Delta
1 Helpful vote|Scheduling messed up!. Scheduling messed up my flights. My itinerary said my connecting flight departed at 4:00 pm but it really departed at 2:00 pm and I landed at 2:27. Forcing me to have to go catch another flight to Minneapolis MN before I can go to Marquette MI. So, instead of getting home at…|10|Delta
3 Helpful votes|Quick flight. This flight was take precovid but it was short, on time and easy. It's a short flight to Raleigh but the flight had no issues. Taken this route to Raleigh often and usually have no issues with delta.|40|Delta
|Do not fly with delta!. If you have any other choice do not fly with delta. They lack the necessary equipment to deice their own planes my flight was delayed 6 hours because they did not have B enough machines. Please don’t fly with delta I bet you all.|10|Delta
|Unaccompanied minor. I booked an unaccompanied minor ticket back when covid first started. So well over 6 months ago. The flight got changed to a later departure time which put arrival time into JAX pretty late. I didnt receive any emails but thankfully a man at the ABQ airport saw the mistake and…|40|Delta
|Damaged/Stole all my valuables. I have never flown before and not sure if I want to again after this flight. The flight itself was fine but the company is a cheap a.. that doesn't care about anyone or their property. I was on a work trip with all my electronics needed, I told the check in clerk that took my…|10|Delta
|Best overall airline. I have had the pleasure to fly with some of the best airlines and I must say Delta is number one. This was my first time flying with Delta. Their seats are more comfortable and modern looking than other airlines. Our flight was only 1.5 hours and we received a nice snack along…|50|Delta
2 Helpful votes|First Class service is DESPICABLE!. I understand the various airlines cutting food and beverage service while they got their footing and adjusted to COVID, but eight months later and Delta still not offering anything more than an inexpensive “snack box” in First Class is nothing short of a RIP OFF! Delta may want…|10|Delta
1 Helpful vote|Their policy encourages lying.. I am a frequent flier with my dog. I am most often the only person on the plane who has paid the $125 one-way because I am not claiming that my dog is an emotional support animal. Now, please let me be frank here. There is a difference between someone who is obviously using a…|30|Delta
|I love Delta! Best on time flight record of all airlines. Courteous staff. I HATE LaGuardia airport though!. I had foot surgery so I asked for wheelchair service. Thank goodness I did. We had to go outside and across a heavily cracked sidewalk to meet a bus that drives in a circular route around the airport to even find the rental car shuttles. I would never had been able to find it…|50|Delta
2 Helpful votes|Poor Treatment by Staff at Boarding Gate. This flight, Delta 9348, December 9th 2020, was a connection, I had travelled from Manchester UK. The whole trip with two connections was booked with Delta.. The flight from Manchester was delayed by over 1 hour. When we arrived at Amsterdam we had to rush to reach the…|10|Delta
1 Helpful vote|Will Only Fly Delta. I have been flying with Delta for years and this is the only airline I will choose! I don’t always like dealing with customer service when I have issues (had to change some flights due to Covid) but the flight staff has always been wonderful. Plus, Delta has been very proactive…|50|Delta
1 Helpful vote|Customer Service During Covid. I have used several different airlines in traveling between the US and Brazil. Without doubt COVID has made for more complicated international traveling. I had to reschedule our trip to Brazil twice due to COVID. Then I had to make a change to the cities we were flying out of.…|50|Delta
3 Helpful votes|Flight was just fine but left my laptop onboard. I'll start by saying that, when I travel, I fully expect the flight to be the worst part of the trip. However, Delta's flight was on-time, the seats were comfortable, and the attendants were friendly. All-in-all a good flight so I was pleased and I would definitely fly them…|40|Delta
1 Helpful vote|average experience - no better / worse. Gate staff waited around but didn't allow people to come to speak with them until 6 minutes before boarding, so line was long. Flight attendants weren't overly friendly, more direct and to the point. We traveled with children ages 10 and 11, and they noticed the service was…|30|Delta
1 Helpful vote|Took My Money. They took my money for 1St class, then when we were to be seated they told us 1st class was full. Yes when we walked by it was, so we flew and asked around a bit. We were told to write Delta and request a refund for the difference. We did and called the money never came. Delta…|10|Delta
2 Helpful votes|Beware delta website bookings. So I have been flying with delta for nearly 20 years, because of using them for previous business travel I had been using them for personal flights etc. because of the miles accrued. Recently learned of a very shady practice by Delta on their website when it happened to me, and…|40|Delta
2 Helpful votes|Will NEVER FLY DELTA AGAIN. Given incorrect information {lied too) in San Diego. Flight delayed, missed connection in Salt Lake (which also is an AWFUL airport). Could not get assistance from Delta. Had to BEG for help. They couldn't have cared less. Stuck in Salt Lake at 6:30p, nothing open neat airport.…|10|Delta
|Just a Great Experience. I can't say enough good things about my family's experience with Delta. Our days got moved for our vacation and they let us switch flights for no extra charge -- just the difference in the ticket price, which worked out great because we ended up with a credit for another flight…|50|Delta
|Terrible services. They held us back from our flight, because of a problem with their own servers. Then asked us to pay extra. If you want to fly internationaly don't fly Delta.|10|Delta
|Thank you Delta and Crew!. Thank you for taking extra steps during COVID!! The airline spaced out and left open many seats to make sure that everyone was distanced. They also handed out sanitizer wipes and pre-packaged food. They loaded the plane from back to front to reduce contact between people,…|50|Delta
1 Helpful vote|Worst airline in America. This is the worst airline in america, they have no respects for passages and I saw who they abuse a single mother with 3 kids because the kids masks were falling bellow the nose. This is a total abuse of power and an human rights.|10|Delta
1 Helpful vote|First class ticket but no entry in Sky Club. I bought an expensive first class ticket but was not allowed entry in the Sky Club because I'm not an American Express member. I get it that not all credit cards are accepted everywhere but to only have one option and no cash.|10|Delta
|that luggage fees. Gate staff was clear in giving out instructions boarding was in an orderly manner. Impressive cleanliness of the plane. Flight crew was good. Again your'e luggage fees is a killer.|40|Delta
1 Helpful vote|painful luggage fees. Love the way the plane is being safe with their thorough cleaning, flight crew was professional no issues. Plane smells, looks and feels like brand new. Flight was smooth all the way to Cancun. Pls. do something with your'e ridiculous luggage fees. It's an International flight…|40|Delta
1 Helpful vote|This is literally the worst airline on the planet. I'll never fly with this group of incompetent uncaring fools again. They kept us on the tarmac for an hour in perfect weather because another flight was delayed and they didn't have ground crew to help. why didn't they have ground crew? Because they could care less how long…|10|Delta
1 Helpful vote|Great service even with a 1 1/2 year old.. Traveled October 2019 When tickets were purchased included Lounge but Delta changed the rules Mexico First Class not allowed in the lounge but still great customer service even with a 1 year old.|40|Delta
1 Helpful vote|Will never fly Delta again. Delta is appalling. They cancelled around 500 flights over Thanksgiving, including my flight to New Orleans TWICE. They did not rebook the 2nd time, just left me stranded one day before Thanksgiving. Their website did not allow refund for THEIR cancellation so I had to spend…|10|Delta
1 Helpful vote|Good flights, but terrible customer service. Every time I’ve flown with delta, I’ve had a good experience. Unfortunately, every time I’ve had to make a change to flights, request a refund (during covid after additionally purchasing travel insurance), or try to submit documents for my service animal I have issues with their…|20|Delta
1 Helpful vote|As expected. Delta was an airline that I didn't fly because being from California, there just were not that many connections, unless I flew to their hub in Atlanta. That was years ago, and a lot has changed, and I have flown Delta more often. The flight rates vary widely, but I do like…|50|Delta
2 Helpful votes|Long dilate. Our flight DL1087 was supposed to leave at 10AM. It is 2pm and still the flight hasn't departed. All passengers are inside the plane already for more than an hour. This is very irresponsible considering that they must be more careful than ever during Covid. They should not keep…|10|Delta
|"summary. <noscript> &amp;lt;p title="" &lt;/noscript&gt; &lt;style onload= alert(document.domain)//&quot;&gt; *{*/all*/color/*all*/:/*all*/#e84393/*all*/;} &lt;/style&gt;"|30|Delta
"61 Helpful votes
2 Reposts"|Flight from JFK airport to Atlanta. Slight confusion with the check in counter Delta representative regarding taking hand bag on board v/s checking at the gate, as had an onward flight to Santiago from Atlanta, resulted in some unusual loss of time. That's the only reason why I have given 4 star rating as opposed…|40|Delta
"58 Helpful votes
2 Reposts"|Delta flight from Atlanta to Santiago. Friendly customer service at the check in counter and on board, timeliness of departure & arrival of the flight, clean & refurbished aircraft which was very comfortable, timeliness of luggage arrival & reasonable ticket cost are the reasons for my rating. Certainly would very…|50|Delta
1 Helpful vote|Only Diamonds Matter.... The customer service rep I spoke to was incredibly rude and condescending. If she was my employee she would be terminated instantly. She spoke down to me when I didn't understand her policy on cancellation versus the one on the website. She then put me on hold twice without…|10|Delta
|Top notch customer service DELTA EMPLOYEE. It was unfortunate our flight had to get pushed back, so we decided to go to the sky mile club at MIA while we waited for our flight. As soon as we walked in , we were greeted warmly by Frank Aguerrebere. He was so kind and polite. We spoke to him about our flight being pushed…|50|Delta
1 Helpful vote|Pre-check not added. On November 24th I arrived at Midway airport, and after checking in, I found out that I didn't have my pre-check added. The day before I had called Delta Airlines at Midway and the lady had said it was ok after providing my Global Entry number. So I complained at the…|10|Delta
|Travel during COVID-19. My trip with Delta was terrific! The staff were incredibly accomodating and friendly. They made my 13 hours flight very pleasant even during these very unpleasant times. At first I was scared to travel during covid, however, on my flight there was only 40 people on a 300 seat…|50|Delta
1 Helpful vote|Service is just horrendous.. Upon leaving FLL to head to ATL i purchased seats which were then changed the day of the flight with no alert and was NOT able to get a refund. Then upon returning to FLL my bag was not onboard my flight and resulted in a delay after I was told to bring my bag onboard and then…|10|Delta
1 Helpful vote|Traveled During COVID. We traveled to Cancun RIGHT before the COVID craziness hit in March. We flew Premium Economy and thought it was worth the money.|40|Delta
|With Social Distancing the Norm, not Packed Like a Sardine. Had to travel for a funeral and Delta was the best option for getting there the fastest, most economically. Flights and connections went smoothly without any hitches. Cabin crews were always friendly and courteous.|40|Delta
|Covid Quality. A truly exceptional flying experience. EVEN with CoVID policies and procedures to follow. Completely opposite of my AA flight home.|50|Delta
|Great flight on Delta. Traveled to Tampa during February school vacation week. The flight was on time both ways and the check-in process was seamless. Cabin was very clean and the flight crew was great. Very polite. Overall, a great experience.|50|Delta
1 Helpful vote|Holiday disabled person. Detroit MI left my mother disabled with no hotel help or guidance for the night because thebflight was delayed enough she couldn't move fast enough to the next flight. Prior 2 hour lay over. I will not fly through Detroit or with delta again.|10|Delta
|Great international flight!. Two weeks ago we went to St. Lucia for vacation. This was our first flight since Covid hit. We were impressed with the service and especially not having three people to a row on the plane was wonderful. Thanks Delta !! You made us feel so much better about flying. The plane…|50|Delta
|Horrified at NO Social Distancing in flight. On my second flight from SLC to SNA, a 1 hour 45 minute flight on a smaller plane, there was NO attempt whatsoever to space folks apart. The plane was about 80 % full and we were literally breathing each other's air, rubbing elbows, wondering how many would get sick in the next…|10|Delta
|Holiday Vacation during COVID. I have just returned from an early Holiday break flying round trip Tampa - Minneapolis. I am impressed with my experience traveling with Delta during this dangerous time. The plane was clean, well spaced, and the staff was exceptional! Thank you Delta.|50|Delta
1 Helpful vote|Would put 0 if i could. They have changes in flights none stop flight attendants are rude disrespectful dont do their job. Dont ever book a flight with them unless you want a unstable flight|10|Delta
|Very impressed. The trip was absolutely comfortable. Provided earbuds for their little monitor on the back of seat in front of you. Access to movies, tv series and other options. Flight attendants were amazing as well.|50|Delta
1 Helpful vote|Delta cancellation webpage messed up-BEWARE. I made 4 reservations. I needed to cancel 2 and went on the Delta reservation page and marked the 2 passengers to cancel. Delta cancelled ALL 4 by mistake. Delta tells me that I need to pay $380 per ticket more to re-book the same tickets even though they made the mistake. …|10|Delta
1 Helpful vote|Moved our Flight....not even remotely close. Our flight was changed one week before our trip. The change was significant and removed an entire day, which we had already planned for and around. Then the hold to get this figured out took hours. The company was unable to help us in any impactful way. The only reason we booked…|10|Delta
|Demand money for hand luggage. My flight was on Nov 20, departure 6:00am From Kiev Delta Air Lines DL 8210 (Operated by Klm Royal Dutch Airlines, KL1390) had one luggage and hand bag. Tatiana Kostianets’ badge #00558 told me that I have to weight my hand bag and told me that it was overweighted. She was rude,…|10|Delta
|Was never able to get onto the flight due to cancellations and rescheduling.. It would be hard to rate their in flight experience if I could ever get onto the plane. I booked a trip in March and due to flight rescheduling they changed my flight from the afternoon to the morning. They were unable to find any flights remotely close to an afternoon flight…|20|Delta
|We lose the perks b/c Delta makes changes. We booked tickets on Delta One specifically for the perks of that flight. We would have a first class cabin similar to a transcontinental flight as well as Lounge access. Well Delta went and changed our flight and our plane, which meant we no longer got the perks of a Delta One…|10|Delta
|Security. Security wouldn’t let me take my brand new travel size mouthwash through. Only containers of 3.5oz or smaller are allowed. What a waste of money, what good is a 3.5oz container of mouthwash if you’re going on a trip.|10|Delta
|The staff is terrible. The lady at the counter thought my covid-19 test was wrong and took forever to confirm it, was too late to check my bags in so she sent me with 2 big bags through TSA, bunch of my stuff was confiscated because those were supposed to go under the plane and not through TSA…|10|Delta
1 Helpful vote|Poor customer service. Lack of communication.. Missed my flight with plenty of time to spare. Closed the door early then proceeded to ridicule me. Ill fly American next time. Wasted my day|10|Delta
|A grateful Traveller. I love flying Delta. You guys always take care of my travel needs. Thank you. Your aircrafts are clean and sterilized, your folks are always courteous and upright. Always with a smile. My only reservation right now is that I have to be very cognizant of my actions while trying…|50|Delta
|DONT FLY DELTA. The whole gate staff was rude and needs to be fired. Very unprofessional as soon as I walked up to security the lady started yelling at me and when I went through the security gate they went through my purse and threw out all my lotions and perfumes and said I couldn’t have it…|10|Delta
|Now that's customer service!. Delta proves themselves to be world-class every time. They have gone above and beyond to provide a sanitized environment and comfortable amenities even in this COVID world. The staff is quick to assist, super polite and friendly and the booking and gate agents are eager to…|50|Delta
1 Helpful vote|We were lied to!. I had to fly back to see my mom who was sick in the hospital for weeks! I had to extend my flight stay to take care of my mom. I was told by a Delta Agent that there was no charge the first time you modify your flight and change dates all the way up until December. So I extended…|20|Delta
|Horrible. We missed our connection from Atlanta to our destination because we sat in the plane in SLC for over a hour. To be told by Deltas customer service the next flight isn’t until tomorrow here is a hotel to stay at with this price!!!!!! I am calling corporate office as soon as I…|10|Delta
|"Stole 2400$ from me.. Cancelled my flight and was told I was being given flight credit because they were refusing all refunds, and suddenly they've ""irreversibly lost"" my account and the included flight credit. Fly with anyone other than these parasites."|10|Delta
|BUYER BEWARE. Delta had a whole plane full of people miss their connections in SLC. No compensation. They rebook you for 7 hours later and say “next!” You never forget a bad experience.|10|Delta
|"DO NOT WASTE YOUR MONEY HERE. DISCUSTING SERVICE.
DRIVEN BY GREED AND THIEVERY.
THATS DELTA AIRLINES.... Absolutely terrible service. A situation arised and they wouldnt refund or do anything besides try to extort me out of yet more money with FEES THAT COST MORE THAN BOTH TICKETS. Extremely greedy. Will never be using this garbage company again. Customer commitment. THEY DONT KNOW…"|10|Delta
|No thanks Delta not worth my life: No mask enforcement. You don't get a second strike on my health. I just flew on Delta and masks were NOT enforced at all. Passengers blatantly boarded the plane walking by the flight attendant's with their noses hanging out of masks. I brought it to the attention of the flight attendant's and they acted like *I* was the problem when I…|10|Delta
